,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
15,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,5,"Using Game-Based Learning and Quantum Computing to Enhance STEAM Competencies in K-16 EducationIEEE Transactions on Education, Vol. 67, Núm. 6, pp. 807-816",
14,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,5,Optimizing quantum machine learning for proactive cybersecurityOptimization and Engineering,
12,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,5,"Driver Identification and Detection of Drowsiness while DrivingApplied Sciences (Switzerland), Vol. 14, Núm. 6",
11,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,5,"Detection of malicious URLs using machine learningWireless Networks, Vol. 30, Núm. 9, pp. 7543-7560",
13,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,5,"La ciberseguridad necesita mujeres y las mujeres necesitan ciberseguridadCTS: Revista iberoamericana de ciencia, tecnología y sociedad, Vol. 19, Núm. 56, pp. 101-115",
16,Dulce María,Cairós Barreto,Derecho del Trabajo y de la Seguridad Social,2,"El  papel del convenio colectivo como instrumento de transparencia retributivaFemeris: Revista Multidisciplinar de Estudios de Género, Vol. 9, Núm. 2, pp. 31-57",
17,Dulce María,Cairós Barreto,Derecho del Trabajo y de la Seguridad Social,2,"Empresas y medio ambiente: el informe del Consejo de Derechos Humanos de Naciones Unidas «Las empresas, los límites planetarios y el derecho a un medio ambiente limpio, saludable y sostenible»Trabajo y derecho: nueva revista de actualidad y relaciones laborales, Núm. 117",
18,María Aránzazu,Calzadilla Medina,Derecho Civil,4,Análisis crítico de la “adopción abierta”: un cambio de paradigma de la institución adoptivaOñati Socio-Legal Series,
19,María Aránzazu,Calzadilla Medina,Derecho Civil,4,"El contrato de seguro colectivo de rentas como mejora voluntaria de la Seguridad Social: jurisdicción competente y responsabilidadRevista de Derecho Laboral vLex (RDLV), Núm. 12, pp. 43-51",
20,María Aránzazu,Calzadilla Medina,Derecho Civil,4,"El quantum de un daño incierto: la oportunidad perdida en el ámbito de la responsabilidad civil médico-sanitaria. Comentario de la STS (Sala de lo Civil, Sección 1.ª) 204/2024, de 19 febrero (JUR 2024, 62960)Revista Aranzadi de derecho patrimonial, Núm. 64",
